1200
-0.5,-1.5,0,13
-1.5,-1.5,0,13
0.5,-1.5,0,13
1.5,-1.5,0,13
-1.5,-0.5,0,13
-1.5,0.5,0,13
1.5,-0.5,0,13
1.5,0.5,0,13
0.5,0.5,0,13
-0.5,0.5,0,13
-15.5,-11.5,0,0
-14.5,-11.5,0,0
-13.5,-11.5,0,0
-12.5,-11.5,0,0
-11.5,-11.5,0,0
-10.5,-11.5,0,0
-9.5,-11.5,0,0
-8.5,-11.5,0,0
-7.5,-11.5,0,0
-6.5,-11.5,0,0
-5.5,-11.5,0,0
-4.5,-11.5,0,0
-3.5,-11.5,0,0
-2.5,-11.5,0,7
-1.5,-11.5,0,13
-0.5,-11.5,0,13
0.5,-11.5,0,13
1.5,-11.5,0,13
3.5,-11.5,0,0
4.5,-11.5,0,0
5.5,-11.5,0,0
6.5,-11.5,0,0
7.5,-11.5,0,0
8.5,-11.5,0,0
9.5,-11.5,1,15
10.5,-11.5,1,14
11.5,-11.5,1,14
12.5,-11.5,1,14
13.5,-11.5,1,19
14.5,-11.5,0,0
15.5,-11.5,0,0
2.5,-11.5,0,4
-15.5,11.5,0,0
-14.5,11.5,0,0
-13.5,11.5,0,0
-12.5,11.5,0,0
-11.5,11.5,1,17
-10.5,11.5,1,18
-9.5,11.5,1,18
-8.5,11.5,1,20
-7.5,11.5,0,0
-6.5,11.5,0,0
-5.5,11.5,0,0
-4.5,11.5,0,0
-3.5,11.5,0,0
-2.5,11.5,0,7
-1.5,11.5,0,13
-0.5,11.5,0,13
0.5,11.5,0,13
1.5,11.5,0,13
2.5,11.5,0,4
3.5,11.5,0,0
4.5,11.5,0,0
5.5,11.5,0,0
6.5,11.5,0,0
7.5,11.5,0,0
8.5,11.5,0,0
9.5,11.5,0,10
10.5,11.5,0,13
11.5,11.5,0,13
12.5,11.5,0,13
13.5,11.5,0,13
14.5,11.5,0,4
15.5,11.5,0,0
15.5,-10.5,0,0
15.5,-9.5,0,0
15.5,-8.5,0,0
15.5,-7.5,0,0
15.5,-6.5,0,0
15.5,-5.5,0,0
15.5,-4.5,0,0
15.5,-3.5,0,12
15.5,-2.5,0,13
15.5,-1.5,0,13
15.5,-0.5,0,13
15.5,0.5,0,13
15.5,1.5,0,13
15.5,2.5,0,13
15.5,3.5,0,8
15.5,4.5,0,0
15.5,5.5,0,0
15.5,6.5,0,0
